1,9202,9202
0,410411,460254
1,211858,312074
1,253077,253077
0,235274,65408
0,253901,504325
0,415071,63239
0,54141,490437
0,54141,779903
0,172772,677546
0,415071,712893
1,584919,344815
0,11183,492498
0,378856,175720
0,775118,312059
0,563655,57570
0,389220,409514
1,118675,809660
1,526763,465702
1,825250,35839
1,379000,79765
0,617213,654443
0,389220,695820
0,720678,112750
0,264991,386443
1,417676,643361
1,346108,387630
0,389220,742990
1,485624,773012
1,537811,559370
1,337003,683300
0,551893,57872
1,418597,105872
1,114243,478370
1,272951,382703
1,568730,339644
0,558602,583496
1,399981,79419
0,825136,577280
1,239543,578791
1,79290,95221
0,742798,695167
0,253901,434716
1,575749,575749
0,411179,206238
0,655345,47229
1,303055,505174
0,94693,575059
0,271211,685153
0,617213,154585
1,630349,306959
1,734747,62195
1,798491,600186
1,300626,620498
1,440462,524520
1,142500,185499
1,283254,43665
0,475434,305830
1,541377,793940
1,349444,110195
1,655828,689134
1,799628,704541
1,551043,577467
1,45562,45562
0,235274,601722
1,106617,5918
1,343136,562372
0,426260,342959
0,551893,453382
0,141580,377759
1,218747,634116
1,609015,658717
0,393346,197401
1,430225,442442
0,63090,583307
0,834188,321895
0,397870,278814
0,141580,428733
1,201736,41545
0,84561,92332
1,728601,669412
1,691381,521614
1,216992,151379
1,778645,159788
0,742798,588662
0,828968,234786
1,479897,330231
0,21026,776980
1,620069,524285
0,393346,786603
0,411179,152400
0,411179,774618
1,104361,40193
0,825136,646310
1,111213,222182
0,63090,119588
0,172772,8593
0,558602,462093
1,444530,294428
1,791286,303109
0,415071,675421
0,397870,752795
1,829949,690090
0,546097,610580
0,484132,242857
0,591266,348151
0,834188,755456
0,91659,665817
1,467036,444643
1,205574,286559
0,21026,770642
0,162166,473323
1,756724,96267
1,332766,163626
1,43565,69550
1,54460,594469
0,475434,531538
1,808472,440007
0,817680,182323
0,779170,599865
1,116808,689127
0,663566,449580
0,563655,372533
0,378856,559182
1,220763,113655
1,430539,221924
1,212871,64158
1,25494,12904
0,757507,833418
1,522625,93813
1,115449,428809
0,558602,484557
1,329920,83472
0,333674,418044
0,551893,216273
0,330024,242949
0,742798,338066
0,54141,336896
0,256858,280288
0,256858,810895
0,411179,411051
0,451915,527670
1,7379,703753
0,264991,484288
1,401000,672137
0,42526,617256
1,818836,281925
0,834188,538696
0,91659,166790
0,21026,2834
0,409066,400158
1,664505,759099
0,663566,306901
0,162166,666405
0,378856,287279
1,558288,398646
1,794471,700839
0,21026,814116
0,643580,499572
1,617562,817714
0,91659,559988
0,546097,292786
0,291850,112912
0,84561,277229
1,244459,476636
1,342196,778537
0,655345,419740
1,769403,480256
1,824799,835352
0,775118,692600
0,720678,78343
0,63090,352125
1,617594,627574
1,323330,27135
0,141580,775662
1,91897,561966
0,63090,65142
0,415071,805780
1,764684,188681
0,775118,816845
1,570019,761967
1,234232,776170
0,42526,335513
0,394152,566704
1,316847,408230
1,236919,100028
1,211350,119757
1,665424,166825
1,256248,330825
1,317943,712502
0,775118,576210
1,527850,303123
1,751487,226928
0,74604,152608
1,788595,118309
1,676803,308468
1,491404,3099
1,604794,41202
1,530102,448483
1,158890,818516
1,389451,8405
1,111463,576908
1,678580,836300
0,757507,16809
0,393346,342966
0,828968,797017
1,105852,568558
0,775118,236151
0,591266,329954
1,314705,326012
1,15561,347290
0,757507,708286
0,426260,746836
0,161108,221149
0,397870,686205
1,36454,626558
1,568622,319563
1,49566,168196
1,81618,109511
